15M          Fifteen minutes
NT10         Network path failed to restore -1AESS network trouble
NT1          NT serving layer 1 (NCTE)
NT2          NT serving layer 1 to 3 (subscriber interface of nt
NTC          National trunk congestion
NTDACT       Network termination (NT) is deactivated.
NTD          Normal direction
NTEC         Networkbterminal equipment center
NTEC         Network technical equipment center
NTEC         Network terminal equipment center
NTE          Network terminal equipment
NTE          Network terminating equipment
NTIA         National telecommunications and information agency
NTI          Northern telcom inc.
NTM          Nt test mode (IOM2 monitor message)
NT           Network termination
NTN          Number of tns to be assigned
NT           Northern telecom
NTOFN        NT off normal.
NTO          Network terminal option (IBM)
NTP          Northern telecom practice (NTI)
NT           Protection alarm-metalic-service code for LATA access
NTPWR        NT lost power.
NTRAP        Network trouble analysis plan
NTS          Network technical support
NTS          Network test system
NT/S         NT simulator SIPB7020
NTTMP        Network trunk transmission measurement plan
NTT          No test trunk
NTWRK        Network
NUA          (international) network user address
NUA          Network user address
NUA          Network utilization analysis
NUC          Nailed-up connection
NUI          Network user identification
NUL          Null
NUP          National user part
NU           Protection alarm-service code for LATA access
NVM          Non volatile memory (eeprom)
NV           Protective relaying/telegraph grade-service code for LATA access
NWB          Network-busy (NTI)
NWK          Adminnetwork administration budgets system
NWM          Network management (NTI)
NWPK         Network packs
NW           Telegraph grade facility-75 baud-service code for LATA access
NXX          Refers to the central office designation of the telephone
NYNEX        New york
NYNEX        NYNEX corporation
NYPSA        National yellow pages services association
NYPS         National yellow pages services
NY           Telegraph grade facility- 150 baud-service code for LATA access
OA           Line equipment assignment option
OAM          Office data administration system
OA&M         Operations
OA&M         Operations administration and maintenance
OA           Out of alignment
OAP          Operator services position system administrative processor
OASIS        Office automation strategy for information systems
OASIS        Overseas accounting settlement and information
OASYS        Office automation system
OATQ         OSPS ANSI TCAP query and reply
OATS         Operator assistance tracking system
OBA          Out of band announcement
OBF          Ordering and billing forum
OBH          Office busy hour
OBS          Observed data rate
OCAS7        OSPS customer account services CCSS7/international CC validation
OCAS         OSPS customer account services
OCCH         Outgoing connections per circuit per hour
OC&C         Other charges and credits
OCC          Other common carrier
OCC          Other common carriers
OCCS         Order control and coordination system (BTL)
OCCS         OSPS common channel signaling
OCC          Usage occupancy
OCE          Other common carrier channel equipment
OCN          Operating company number
OC           Office communication
OCOIN        OSPS coin
OC           Operating company
OC           Operator centralization
OCPDG        Ocp data gathering
OCP          Optional calling plan
OCP          Origination point code (SS7)
OCR          Optical character reader (auerbach computer technology report)
OCR          Optical character recognition (IBM)
OCRS         Optical character recognition system
OCS/CTS      Official communications services installation and
OCS/CTS      Official communications services installation and maintenance cos
OCSDSELR     OCS data station equipment location report
OCS          Offical communication services
OCS          Old class of service
OCSOLRM      Official communications services (OCS) on-line reference
OCTD         OSPS centralized automatic message accounting tone decoder
OCU          Office channel unit
ODACCIN      OSPS directory assistance (DA) call completion and intercept
ODAC         Operations distribution administration center
ODA          Office data administration
ODA          Office data assembler
ODA          Office document architecture
ODB          On-demand B-channel counts.
ODB          Operations divestiture board
ODCS         Official data communications service
